Packet Length,Node Distance,Average Packet Loss Rate,Packet 95% Lower,Packet 95% Upper,Packet 99% Lower,Packet 99% Upper,Average Goodput,Goodput 95% Lower,Goodput 95% Upper,Goodput 99% Lower,Goodput 99% Upper
 400,10,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,11,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,12,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,13,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,14,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,15,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,16,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,17,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,18,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,19,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,20,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,21,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,22,8.000000000000001e-07,1.8431286439455615e-08,1.5815687135605445e-06,-2.3452212333666366e-07,1.8345221233366637e-06,0.7999993599999999,0.7999987347450291,0.7999999852549707,0.7999985323823012,0.8000001876176986
400,23,2.3800000000000003e-05,1.9823757167802286e-05,2.777624283219772e-05,1.853685281115246e-05,2.9063147188847546e-05,0.7999809599999999,0.7999777790057341,0.7999841409942656,0.7999767494822487,0.799985170517751
400,24,0.0002486,0.0002352253257006333,0.0002619746742993668,0.0002308966346847694,0.00026630336531523066,0.79980112,0.7997904202605606,0.7998118197394395,0.7997869573077478,0.7998152826922522
400,25,0.00154,0.0015038920752425196,0.0015761079247574802,0.0014922058056556337,0.0015877941943443661,0.798768,0.798739113660194,0.7987968863398061,0.7987297646445245,0.7988062353554756
400,26,0.007141,0.007073562860971252,0.0072084371390287475,0.007051736943471105,0.007230263056528894,0.7942871999999999,0.7942332502887769,0.7943411497112228,0.7942157895547768,0.7943586104452229
400,27,0.025708800000000004,0.025567126836678063,0.025850473163321945,0.02552127455380866,0.02589632544619135,0.7794329600000001,0.7793196214693425,0.7795462985306576,0.779282939643047,0.7795829803569532
400,28,0.07440219999999999,0.07418089093791101,0.07462350906208896,0.0741092646293108,0.07469513537068917,0.74047824,0.7403011927503288,0.7406552872496711,0.7402438917034486,0.7407125882965513
400,29,0.17545180000000002,0.17512936092127532,0.17577423907872472,0.17502500405156785,0.1758785959484322,0.6596385599999999,0.6593806087370201,0.6598965112629797,0.6592971232412541,0.6599799967587456
400,30,0.34244139999999995,0.34203479594426645,0.34284800405573346,0.3419031992202138,0.3429796007797861,0.52604688,0.5257215967554132,0.5263721632445868,0.525616319376171,0.526477440623829
400,31,0.5567152,0.5562779887629294,0.5571524112370705,0.5561364860757178,0.5572939139242822,0.35462783999999997,0.35427807101034353,0.3549776089896564,0.3541648688605742,0.35509081113942575
400,32,0.7626718,0.7623064657846949,0.7630371342153052,0.7621882259756212,0.7631553740243788,0.18986255999999999,0.18957029262775582,0.19015482737224415,0.18947570078049691,0.19024941921950306
400,33,0.905234,0.9049748029281823,0.9054931970718176,0.9048909142284651,0.9055770857715348,0.0758128,0.07560544234254589,0.07602015765745411,0.0755383313827721,0.0760872686172279
400,34,0.9731791999999999,0.9730487803923692,0.9733096196076306,0.9730065703040182,0.9733518296959817,0.02145664,0.02135230431389545,0.021560975686104548,0.02131853624321457,0.02159474375678543
400,35,0.9948425999999998,0.9947763449185005,0.9949088550814991,0.994754901571947,0.9949302984280526,0.00412592,0.004072915934800585,0.004178924065199415,0.004055761257557802,0.004196078742442198
400,36,0.9993326,0.9993123597295591,0.9993528402704409,0.99930580899981,0.99935939100019,0.0005339200000000051,0.0005177277836472541,0.0005501122163527561,0.0005124871998480362,0.000555352800151974
400,37,0.9999446000000001,0.999938796737173,0.9999504032628271,0.9999369185208441,0.999952281479156,4.4319999999997116e-05,3.9677389738306664e-05,4.896261026168757e-05,3.8174816675208705e-05,5.046518332478553e-05
400,38,0.9999971999999999,0.9999957055372043,0.9999986944627955,0.9999952218568147,0.9999991781431852,2.24000000000224e-06,1.0444297635033967e-06,3.4355702365010833e-06,6.574854517595307e-07,3.822514548244949e-06
400,39,0.9999997999999999,0.9999994031566096,1.0000001968433903,0.9999992747189086,1.0000003252810912,1.6000000000016e-07,-1.5747471224154665e-07,4.774747122418667e-07,-2.6022487302188985e-07,5.802248730222099e-07
400,40,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,41,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,42,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,43,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,44,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
