Packet Length,Node Distance,Average Packet Loss Rate,Packet 95% Lower,Packet 95% Upper,Packet 99% Lower,Packet 99% Upper,Average Goodput,Goodput 95% Lower,Goodput 95% Upper,Goodput 99% Lower,Goodput 99% Upper
 100,35,0.87838448,0.8781881419613203,0.8785808180386797,0.8781245974827722,0.8786443625172279,0.060807759999999995,0.06070959098066014,0.060905929019339854,0.06067781874138604,0.060937701258613954
200,35,0.9575645902583613,0.9574202739962919,0.9577089065204306,0.957373566278924,0.9577556142377985,0.028290273161092682,0.028194062319713116,0.028386484002472248,0.028162923841467843,0.02841762248071752
300,35,0.9852264,0.9851307550463526,0.9853220449536473,0.9850997997167275,0.9853530002832724,0.0110802,0.011008466284764465,0.011151933715235535,0.010985249787545592,0.011175150212454408
400,35,0.9948425999999998,0.9947763449185005,0.9949088550814991,0.994754901571947,0.9949302984280526,0.00412592,0.004072915934800585,0.004178924065199415,0.004055761257557802,0.004196078742442198
500,35,0.9981858109729758,0.998143915585901,0.9982277063600505,0.9981303562137939,0.9982412657321577,0.0015118241891870193,0.001476911366624733,0.0015467370117493056,0.0014656118898688038,0.0015580364885052348
600,35,0.9993615948927596,0.9993351909389956,0.9993879988465235,0.9993266453434257,0.9993965444420934,0.0005472043776350218,0.0005245724172658811,0.0005698363380041625,0.0005172476210631111,0.0005771611342069325
700,35,0.9997820800000001,0.9997648453908441,0.9997993146091562,0.9997592674383537,0.9998048925616465,0.00019067999999999722,0.00017559971698844425,0.00020576028301155018,0.00017071900855938853,0.0002106409914406059
800,35,0.9999265579436224,0.9999150745449491,0.9999380413422957,0.9999113579621333,0.9999417579251115,6.528182789119812e-05,5.507436240366922e-05,7.5489293378727e-05,5.177073323397054e-05,7.879292254842569e-05
900,35,0.9999692000000002,0.9999620782298316,0.9999763217701688,0.9999597732808021,0.9999786267191983,2.7720000000008835e-05,2.131040684822394e-05,3.4129593151793725e-05,1.9235952721682122e-05,3.620404727833555e-05
