Packet Length,Node Distance,Average Packet Loss Rate,Packet 95% Lower,Packet 95% Upper,Packet 99% Lower,Packet 99% Upper,Average Goodput,Goodput 95% Lower,Goodput 95% Upper,Goodput 99% Lower,Goodput 99% Upper
 400,10,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,11,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,12,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,13,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,14,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,15,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,16,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,17,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,18,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,19,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,20,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,21,0.0,nan,nan,nan,nan,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999997,0.7999999999999999
400,22,8.000000000000001e-07,2.2348948771676112e-08,1.577651051228324e-06,-2.2933651612884544e-07,1.8293365161288455e-06,0.7999993599999999,0.799998737879159,0.7999999821208409,0.799998536530787,0.8000001834692129
400,23,2.3800000000000003e-05,1.984368833507803e-05,2.7756311664921976e-05,1.8563234667453673e-05,2.903676533254633e-05,0.7999809599999999,0.7999777949506679,0.7999841250493318,0.7999767705877339,0.7999851494122658
400,24,0.0002486,0.00023529236709673735,0.0002619076329032627,0.00023098537391683647,0.0002662146260831636,0.79980112,0.7997904738936774,0.7998117661063227,0.7997870282991335,0.7998152117008666
400,25,0.00154,0.0015040730684863159,0.001575926931513684,0.0014924453770607232,0.0015875546229392767,0.798768,0.7987392584547891,0.798796741545211,0.7987299563016486,0.7988060436983515
400,26,0.007141,0.007073900893871983,0.007208099106128017,0.007052184380156012,0.0072298156198439874,0.7942871999999999,0.7942335207150975,0.7943408792849023,0.7942161475041247,0.794358252495875
400,27,0.025708800000000004,0.025567836982319517,0.02584976301768049,0.025522214536901802,0.025895385463098206,0.7794329600000001,0.7793201895858557,0.7795457304141444,0.7792836916295215,0.7795822283704786
400,28,0.07440219999999999,0.0741820002635036,0.07462239973649637,0.07411073298628007,0.0746936670137199,0.74047824,0.7403020802108029,0.740654399789197,0.740245066389024,0.7407114136109759
400,29,0.17545180000000002,0.17513097716743672,0.1757726228325633,0.175027143393102,0.17587645660689805,0.6596385599999999,0.6593819017339493,0.6598952182660505,0.6592988347144815,0.6599782852855183
400,30,0.34244139999999995,0.3420368340726685,0.3428459659273314,0.34190589698547175,0.34297690301452816,0.52604688,0.5257232272581348,0.5263705327418652,0.5256184775883774,0.5264752824116226
400,31,0.5567152,0.556280180311753,0.557150219688247,0.5561393869156604,0.5572910130843395,0.35462783999999997,0.35427982424940235,0.3549758557505976,0.35416718953252835,0.3550884904674716
400,32,0.7626718,0.7623082970454261,0.7630353029545739,0.762190649920832,0.7631529500791681,0.18986255999999999,0.18957175763634088,0.1901533623636591,0.18947763993666555,0.19024748006333442
400,33,0.905234,0.9049761021698066,0.9054918978301933,0.9048926339674728,0.9055753660325272,0.0758128,0.0756064817358453,0.0760191182641547,0.07553970717397822,0.07608589282602178
400,34,0.9731791999999999,0.973049434128855,0.9733089658711448,0.9730074356212265,0.9733509643787733,0.02145664,0.021352827303084073,0.021560452696915925,0.021319228496981268,0.02159405150301873
400,35,0.9948425999999998,0.9947766770262636,0.994908522973736,0.9947553411658333,0.9949298588341663,0.00412592,0.004073181621011002,0.004178658378988998,0.004056112932666814,0.004195727067333186
400,36,0.9993326,0.9993124611851877,0.9993527388148123,0.9993059432913834,0.9993592567086166,0.0005339200000000051,0.0005178089481501055,0.0005500310518499047,0.0005125946331067791,0.0005552453668932311
400,37,0.9999446000000001,0.9999388258263928,0.9999503741736073,0.9999369570247415,0.9999522429752586,4.4319999999997116e-05,3.970066111423284e-05,4.893933888576139e-05,3.820561979311556e-05,5.0434380206878675e-05
400,38,0.9999971999999999,0.999995713028293,0.9999986869717068,0.9999952317723817,0.9999991682276181,2.24000000000224e-06,1.0504226345073004e-06,3.4295773654971797e-06,6.654179054622861e-07,3.814582094542194e-06
400,39,0.9999997999999999,0.999999405145812,1.0000001948541877,0.9999992773519131,1.0000003226480867,1.6000000000016e-07,-1.558833502793774e-07,4.758833502796974e-07,-2.581184694165042e-07,5.781184694168243e-07
400,40,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,41,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,42,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,43,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
400,44,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
